question,context
"Who was the author of the Buddhist scripture ""Buddha Charita""?","Buddha Charita was written by Ashvaghosha, a writer and Buddhist philosopher.An epic poem on the life of Gautama Buddha, it consists of 28 cantons and was composed in the Sanskrit language.The legendary history of Gautama Buddha is unveiled through this classic work.Another important work of Ashwaghosha was Saundarananda."
Who led the revolt of 1857 in Kanpur?,"Nana Saheb led the revolt of 1857 from Kanpur.The rebellion of 1857 was spread across the areas of Meerut, Agra, Mathura, and Lucknow near Kanpur.Nana Saheb, the adopted heir of Baji Rao II joined the struggle as he was denied the pension and honours on the ground that he was not the natural born heir.Tantia Tope assisted Nana Saheb in Kanpur as the Commander in Chief.The First War of Independence, known as Sepoy Mutiny, was the first rebellion against the British troops in India in 1857.The revolt began in Meerut and was led by Bahadur Shah II from Delhi, Begum Hazrat Mahal from Lucknow, Nana Sahib, and Tantya Tope from Kanpur, and Rani Laxmibai from Jhansi."
"Who is credited with the discovery of the ancient Harappa civilization, one of the earliest known civilizations in the world?","Dayaram Sahni discovered the Harappa Civilization or Indus Valley Civilization.Dated to have existed between 2500-1700 BCE, it was first discovered at Harappa in Punjab and then in Mohenjo Daro. The origins of the Harappan Civilization trace back to a settlement, namely Mehrgarh. It forms a part of the major civilizations of the world, including; Egypt, Mesopotamia, and China.The Harappan Civilization is divided into three phases. They are : Early Harappan Phase – 3300 to 2600 BCE,Mature Harappan Phase – 2600 to 1900 BCE,Late Harappan Phase – 1900 – 1300 BCE.The Harappan system is said to have developed the first accurate system of standardized weights and measures.The Harappan city was divided into two parts known as the ‘Citadel’ and the ‘lower town’.The streets were built in a grid pattern, running in North-South or East-West direction. Urban centers were also developed.It is assumed by scholars that the Harappan Civilization was destroyed due to Climate Change."
Who was the founder of the Sathyashodhak Samaj?,"Jyotirao Phule founded the Sathyashodhak Samaj or Society of Truth Seekers.Founded on 24th September 1873, the primary objective of the Satyashodhak Samaj was to promote education among the disadvantaged section of the population and make them aware of their social rights.It vehemently opposed the domination of the Brahminical class and stood for the rights of lower castes, untouchables, and widows. People of different strata of society collectively worked to attain equal rights for people of lower castes.The Samaj organised a protest against the brahman landlords along with tenants in Satara in 1919.Brahmins were highly critical of the Sathyshodhak Samaj and criticized them as “anti-national”."
"In what year did the Non-Cooperation Movement, a significant phase of the Indian independence movement led by Mahatma Gandhi, begin in India?","The Non-Cooperation movement started in the year 1920.Non-violent in nature and peaceful in form, Mahatma Gandhi organised the Non – Cooperation movement with the Indian National Congress.It was organized immediately after the Rowlatt Act of 1919 and the Jallianwala Bagh massacre. Disagreement towards Montagu-Chelmsford reforms was another important reason."
"Who was the editor of the Kesari newspaper, a Marathi language newspaper founded by Lokmanya Tilak that played a significant role in the Indian independence movement?","The Kesari newspaper was edited by Bal Gangadhar Tilak.A Marathi newspaper founded on 4th January 1881, it was a mouthpiece of the Indian Freedom Movement.The editors of the newspaper along with Bal Gangadhar Tilak were Agarkar and Narasimha Chintaman Kelkar.Maratha was another newspaper started by Bal Gangadhar Tilak."
Who is known as the Napoleon of India?,"Samudragupta is known as the Napoleon of India.A great warrior and an efficient administrator, he played a crucial role in the expansion of the Gupta Empire in India.He was referred to as the ‘Napoleon of India’ by historian AV Smith because he was a great conqueror who subdued prominent kingdoms and rulers.The Allahabad Pillar Inscription or ‘Prayaga prashasti’ contains the details of Samudragupta’s political and military achievements, including his conquest of South India. It was written by a renowned poet in his court, Harisena. Samudragupta is also known as the ‘Father of Inscriptions’.His campaigns to South India and defeat of nine kings of Arvartas signifies his military valour.Samdragupta conducted several Ashvamedha Yajna and hence acquired the title ‘Maharajadhiraja’, which signifies his authority and power. He adopted different policies for capturing different regions. He patronized learned men and appointed them as ministers in his court.He was also known as ‘Kaviraja’, the king of poets due to his genuine interest in the field."
Who was the founder of Azad Hind Fauz?,"Rashbehari Bose was the founder of Azad Hind Fauz.The Indian National Army by Mohan Singh was revived by Rashbehari Bose. He was at the forefront of the creation of the Ghadar party in 1913.It was formed during the time of the Second World War when Japan occupied Singapore. It was organised as a political movement to support the Indian Independence struggle with the collaboration of axis powers.Rash Behari Bose established an Indian Independence League as an initial step for the creation of an Independent Indian state. He handed it over to Subhash Chandra Bose, who developed the organisation as Azad Hind Fauj or Indian National Army."
Who is the founder of the Indian National Army?,"The Indian National Army was founded by Mohan Singh. Mohan Singh, a commander in the British Indian Army, formed the Indian National Army (INA), which was initially known as the Indian Independence League. The Indian prisoners of war, captured by Japan, were a part of this group. They fought against the British for freedom, with the aid of Japan.INA was dismantled in 1942 due to tensions between Mohan Singh and the Japanese.Rash Bihari Bose, an Indian revolutionary headed the Indian Independence League.It was formed with the intent to help India in its struggle against the British Empire with the help of the axis powers.Subhash Chandra Bose took over the Indian National Army in 1943 during the time of the Second World War. Under his effective revival, INA managed to capture Imphal, Kohima, and Arakan.Rash Behari Bose was known as the Father of the Indian National Army."
Who was India’s first Governor-General after Independence?,"Lord Mountbatten was the first Governor-General of Independent India. He was also the last Viceroy of India.He served as the Viceroy of India from 12th February 1947, to 15 August 1947, and Governor General from 15 August 1947, to 21 June 1948.He was authorised to facilitate the transfer of powers from the British Queen to India and Pakistan at the time of partition. He also helped the Indian princes to join either India or Pakistan.According to the ‘Mountbatten Plan’ in May 1947, the provinces were declared independent successor states and were given the authority to decide whether to join the constituent assembly or not. It was also known as the ‘Dickle Bird Plan’ and was put into action by the Indian Independence Act of 1947.Under the plan, Sir Cyril Radcliffe was appointed to determine the international borders for India and Pakistan.Lord William Bentick was the first Governor-general of India.Lord Canning was the first Viceroy of India. C.Rajagopalachari was the last Governor-general of India."
